Plot Title: 3rd Site,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10998544, SEN S/N: 10998544)"
1,9/24/2016 10:03,33.326
2,9/24/2016 10:03,
3,9/24/2016 10:03,
4,9/24/2016 10:18,27.468
5,9/24/2016 10:33,27.075
6,9/24/2016 10:48,27.468
7,9/24/2016 11:03,27.468
8,9/24/2016 11:18,27.567
9,9/24/2016 11:33,27.764
10,9/24/2016 11:48,27.862
11,9/24/2016 12:03,28.357
12,9/24/2016 12:18,29.452
13,9/24/2016 12:33,30.154
14,9/24/2016 12:48,30.154
15,9/24/2016 13:03,29.352
16,9/24/2016 13:18,28.456
17,9/24/2016 13:33,28.258
18,9/24/2016 13:48,28.357
19,9/24/2016 14:03,28.456
20,9/24/2016 14:18,28.357
21,9/24/2016 14:33,28.555
22,9/24/2016 14:48,28.456
23,9/24/2016 15:03,29.053
24,9/24/2016 15:18,28.754
25,9/24/2016 15:33,28.357
26,9/24/2016 15:48,28.357
27,9/24/2016 16:03,28.258
28,9/24/2016 16:18,28.159
29,9/24/2016 16:33,28.06
30,9/24/2016 16:48,27.961
31,9/24/2016 17:03,27.862
32,9/24/2016 17:18,27.764
33,9/24/2016 17:33,27.665
34,9/24/2016 17:48,27.567
35,9/24/2016 18:03,27.468
36,9/24/2016 18:18,27.37
37,9/24/2016 18:33,27.173
38,9/24/2016 18:48,27.173
39,9/24/2016 19:03,27.075
40,9/24/2016 19:18,27.075
41,9/24/2016 19:33,27.173
42,9/24/2016 19:48,27.075
43,9/24/2016 20:03,26.977
44,9/24/2016 20:18,26.977
45,9/24/2016 20:33,26.879
46,9/24/2016 20:48,26.879
47,9/24/2016 21:03,26.879
48,9/24/2016 21:18,26.781
49,9/24/2016 21:33,26.781
50,9/24/2016 21:48,26.781
51,9/24/2016 22:03,26.683
52,9/24/2016 22:18,26.683
53,9/24/2016 22:33,26.585
54,9/24/2016 22:48,26.488
55,9/24/2016 23:03,26.488
56,9/24/2016 23:18,26.39
57,9/24/2016 23:33,26.292
58,9/24/2016 23:48,26.292
59,9/25/2016 0:03,26.195
60,9/25/2016 0:18,26.195
61,9/25/2016 0:33,26.097
62,9/25/2016 0:48,26.097
63,9/25/2016 1:03,26.097
64,9/25/2016 1:18,26
65,9/25/2016 1:33,26
66,9/25/2016 1:48,26
67,9/25/2016 2:03,25.902
68,9/25/2016 2:18,25.902
69,9/25/2016 2:33,25.902
70,9/25/2016 2:48,25.805
71,9/25/2016 3:03,25.805
72,9/25/2016 3:18,25.805
73,9/25/2016 3:33,25.805
74,9/25/2016 3:48,25.805
75,9/25/2016 4:03,25.805
76,9/25/2016 4:18,25.805
77,9/25/2016 4:33,25.708
78,9/25/2016 4:48,25.708
79,9/25/2016 5:03,25.61
80,9/25/2016 5:18,25.61
81,9/25/2016 5:33,25.513
82,9/25/2016 5:48,25.513
83,9/25/2016 6:03,25.513
84,9/25/2016 6:18,25.416
85,9/25/2016 6:33,25.416
86,9/25/2016 6:48,25.416
87,9/25/2016 7:03,25.416
88,9/25/2016 7:18,25.319
89,9/25/2016 7:33,25.319
90,9/25/2016 7:48,25.319
91,9/25/2016 8:03,25.319
92,9/25/2016 8:18,25.222
93,9/25/2016 8:33,25.222
94,9/25/2016 8:48,25.125
95,9/25/2016 9:03,25.125
96,9/25/2016 9:18,25.319
97,9/25/2016 9:33,25.708
98,9/25/2016 9:48,25.902
99,9/25/2016 10:03,26.292
100,9/25/2016 10:18,26.488
101,9/25/2016 10:33,26.683
102,9/25/2016 10:48,26.977
103,9/25/2016 11:03,27.173
104,9/25/2016 11:18,27.272
105,9/25/2016 11:33,27.37
106,9/25/2016 11:48,27.37
107,9/25/2016 12:03,27.567
108,9/25/2016 12:18,27.468
109,9/25/2016 12:33,28.06
110,9/25/2016 12:48,28.357
111,9/25/2016 13:03,28.06
112,9/25/2016 13:18,27.567
113,9/25/2016 13:33,27.567
114,9/25/2016 13:48,27.567
115,9/25/2016 14:03,27.468
116,9/25/2016 14:18,27.37
117,9/25/2016 14:33,27.37
118,9/25/2016 14:48,27.272
119,9/25/2016 15:03,27.37
120,9/25/2016 15:18,27.468
121,9/25/2016 15:33,27.468
122,9/25/2016 15:48,27.567
123,9/25/2016 16:03,27.567
124,9/25/2016 16:18,27.468
125,9/25/2016 16:33,27.272
126,9/25/2016 16:48,27.272
127,9/25/2016 17:03,27.075
128,9/25/2016 17:18,26.879
129,9/25/2016 17:33,26.781
130,9/25/2016 17:48,26.585
131,9/25/2016 18:03,26.39
132,9/25/2016 18:18,26.292
133,9/25/2016 18:33,26.195
134,9/25/2016 18:48,26.195
135,9/25/2016 19:03,26.097
136,9/25/2016 19:18,26
137,9/25/2016 19:33,26
138,9/25/2016 19:48,26
139,9/25/2016 20:03,26
140,9/25/2016 20:18,26
141,9/25/2016 20:33,26
142,9/25/2016 20:48,26.097
143,9/25/2016 21:03,26.097
144,9/25/2016 21:18,26.097
145,9/25/2016 21:33,26.097
146,9/25/2016 21:48,26.195
147,9/25/2016 22:03,26.195
148,9/25/2016 22:18,26
149,9/25/2016 22:33,26
150,9/25/2016 22:48,25.902
151,9/25/2016 23:03,26
152,9/25/2016 23:18,26
153,9/25/2016 23:33,26
154,9/25/2016 23:48,26
155,9/26/2016 0:03,26
156,9/26/2016 0:18,26
157,9/26/2016 0:33,26
158,9/26/2016 0:48,26
159,9/26/2016 1:03,26
160,9/26/2016 1:18,25.902
161,9/26/2016 1:33,25.902
162,9/26/2016 1:48,26
163,9/26/2016 2:03,25.902
164,9/26/2016 2:18,25.902
165,9/26/2016 2:33,25.902
166,9/26/2016 2:48,25.902
167,9/26/2016 3:03,25.902
168,9/26/2016 3:18,25.805
169,9/26/2016 3:33,25.902
170,9/26/2016 3:48,25.902
171,9/26/2016 4:03,25.805
172,9/26/2016 4:18,25.805
173,9/26/2016 4:33,25.708
174,9/26/2016 4:48,25.708
175,9/26/2016 5:03,25.708
176,9/26/2016 5:18,25.708
177,9/26/2016 5:33,25.61
178,9/26/2016 5:48,25.61
179,9/26/2016 6:03,25.61
180,9/26/2016 6:18,25.61
181,9/26/2016 6:33,25.61
182,9/26/2016 6:48,25.61
183,9/26/2016 7:03,25.513
184,9/26/2016 7:18,25.513
185,9/26/2016 7:33,25.416
186,9/26/2016 7:48,25.513
187,9/26/2016 8:03,25.416
188,9/26/2016 8:18,25.416
189,9/26/2016 8:33,25.416
190,9/26/2016 8:48,25.513
191,9/26/2016 9:03,25.61
192,9/26/2016 9:18,25.805
193,9/26/2016 9:33,26.195
194,9/26/2016 9:48,26.488
195,9/26/2016 10:03,26.683
196,9/26/2016 10:18,26.879
197,9/26/2016 10:33,27.173
198,9/26/2016 10:48,27.37
199,9/26/2016 11:03,27.665
200,9/26/2016 11:18,27.862
201,9/26/2016 11:33,27.961
202,9/26/2016 11:48,28.258
203,9/26/2016 12:03,28.357
204,9/26/2016 12:18,28.555
205,9/26/2016 12:33,28.853
206,9/26/2016 12:48,29.652
207,9/26/2016 13:03,29.252
208,9/26/2016 13:18,28.953
209,9/26/2016 13:33,28.953
210,9/26/2016 13:48,29.053
211,9/26/2016 14:03,29.053
212,9/26/2016 14:18,29.053
213,9/26/2016 14:33,29.053
214,9/26/2016 14:48,28.953
215,9/26/2016 15:03,28.655
216,9/26/2016 15:18,28.555
217,9/26/2016 15:33,28.456
218,9/26/2016 15:48,28.456
219,9/26/2016 16:03,28.357
220,9/26/2016 16:18,28.357
221,9/26/2016 16:33,28.357
222,9/26/2016 16:48,28.357
223,9/26/2016 17:03,28.357
224,9/26/2016 17:18,28.258
225,9/26/2016 17:33,28.06
226,9/26/2016 17:48,27.862
227,9/26/2016 18:03,27.764
228,9/26/2016 18:18,27.665
229,9/26/2016 18:33,27.567
230,9/26/2016 18:48,27.468
231,9/26/2016 19:03,27.37
232,9/26/2016 19:18,27.37
233,9/26/2016 19:33,27.37
234,9/26/2016 19:48,27.37
235,9/26/2016 20:03,27.272
236,9/26/2016 20:18,27.272
237,9/26/2016 20:33,27.272
238,9/26/2016 20:48,27.173
239,9/26/2016 21:03,27.173
240,9/26/2016 21:18,27.075
241,9/26/2016 21:33,27.075
242,9/26/2016 21:48,27.075
243,9/26/2016 22:03,26.977
244,9/26/2016 22:18,26.977
245,9/26/2016 22:33,26.879
246,9/26/2016 22:48,26.879
247,9/26/2016 23:03,26.781
248,9/26/2016 23:18,26.683
249,9/26/2016 23:33,26.683
250,9/26/2016 23:48,26.683
251,9/27/2016 0:03,26.683
252,9/27/2016 0:18,26.683
253,9/27/2016 0:33,26.683
254,9/27/2016 0:48,26.585
255,9/27/2016 1:03,26.585
256,9/27/2016 1:18,26.585
257,9/27/2016 1:33,26.585
258,9/27/2016 1:48,26.585
259,9/27/2016 2:03,26.585
260,9/27/2016 2:18,26.585
