ID,Site,Algae,Sediment,Temperature,Canopy,Site_new,Temp_min,Temp_max,Temp_mean,Temp_range
1,A,20,0,28,0,4,25.9,31.37,28.03,5.47
2,A,10,1,30,0,4,25.9,31.37,28.03,5.47
3,A,20,1,28,5,4,25.9,31.37,28.03,5.47
4,A,70,0,28,2,4,25.9,31.37,28.03,5.47
5,A,0,0,29,1,4,25.9,31.37,28.03,5.47
6,A,90,1,29,8,4,25.9,31.37,28.03,5.47
7,A,80,0,29,0,4,25.9,31.37,28.03,5.47
8,A,100,1,28,0,4,25.9,31.37,28.03,5.47
9,A,100,1,28,0,4,25.9,31.37,28.03,5.47
10,B,100,0,29,11,3,25.12,30.25,27.46,5.13
11,B,90,1,29,12,3,25.12,30.25,27.46,5.13
12,B,50,0,30,14,3,25.12,30.25,27.46,5.13
13,B,100,1,29,11,3,25.12,30.25,27.46,5.13
14,B,100,1,28,10,3,25.12,30.25,27.46,5.13
15,B,100,1,29,15,3,25.12,30.25,27.46,5.13
16,B,100,1,30,12,3,25.12,30.25,27.46,5.13
17,B,80,1,29,4,3,25.12,30.25,27.46,5.13
18,B,100,1,29,10,3,25.12,30.25,27.46,5.13
19,C,0,0,29,15,2,27.37,30.76,27.94,3.39
20,C,0,1,29,14,2,27.37,30.76,27.94,3.39
21,C,0,0,29,14,2,27.37,30.76,27.94,3.39
22,C,0,0,29,15,2,27.37,30.76,27.94,3.39
23,C,0,1,29,11,2,27.37,30.76,27.94,3.39
24,C,0,0,29,8,2,27.37,30.76,27.94,3.39
25,C,0,1,29,15,2,27.37,30.76,27.94,3.39
26,C,0,1,29,11,2,27.37,30.76,27.94,3.39
27,C,0,0,29,14,2,27.37,30.76,27.94,3.39
