Time,Fish,Location
8:45,0,Down
8:46,0,Down
8:47,3,Down
8:48,2,Down
8:49,3,Down
8:50,3,Down
8:51,2,Down
8:52,4,Down
8:53,7,Down
8:54,4,Down
8:55,4,Down
8:56,6,Down
8:57,7,Down
8:58,3,Down
8:59,6,Down
9:00,4,Down
9:01,6,Down
9:02,10,Down
9:03,8,Down
9:04,6,Down
9:05,12,Down
9:06,6,Down
9:07,6,Down
9:08,8,Down
9:09,9,Down
9:10,10,Down
9:11,10,Down
9:12,10,Down
9:13,13,Down
9:14,14,Down
9:15,7,Down
9:16,2,Down
9:17,12,Down
9:18,8,Down
9:19,7,Down
9:20,8,Down
9:21,9,Down
9:22,5,Down
9:23,6,Down
9:24,11,Down
9:25,4,Down
9:26,5,Down
9:27,9,Down
9:28,9,Down
9:29,5,Down
9:30,5,Down
9:31,10,Down
9:32,6,Down
9:33,10,Down
9:34,6,Down
9:35,5,Down
9:36,9,Down
9:37,8,Down
9:38,7,Down
9:39,10,Down
9:40,4,Down
9:41,7,Down
9:42,2,Down
9:43,2,Down
9:44,6,Down
8:45,0,Up
8:46,0,Up
8:47,0,Up
8:48,0,Up
8:49,0,Up
8:50,0,Up
8:51,0,Up
8:52,0,Up
8:53,0,Up
8:54,0,Up
8:55,0,Up
8:56,0,Up
8:57,0,Up
8:58,0,Up
8:59,0,Up
9:00,0,Up
9:01,0,Up
9:02,0,Up
9:03,0,Up
9:04,0,Up
9:05,0,Up
9:06,0,Up
9:07,0,Up
9:08,0,Up
9:09,0,Up
9:10,0,Up
9:11,0,Up
9:12,0,Up
9:13,0,Up
9:14,0,Up
9:15,0,Up
9:16,0,Up
9:17,0,Up
9:18,0,Up
9:19,0,Up
9:20,0,Up
9:21,0,Up
9:22,0,Up
9:23,0,Up
9:24,0,Up
9:25,0,Up
9:26,0,Up
9:27,0,Up
9:28,0,Up
9:29,0,Up
9:30,0,Up
9:31,0,Up
9:32,0,Up
9:33,0,Up
9:34,0,Up
9:35,0,Up
9:36,0,Up
9:37,0,Up
9:38,0,Up
9:39,0,Up
9:40,0,Up
9:41,0,Up
9:42,0,Up
9:43,0,Up
9:44,0,Up
